Date,CPRT,NVDA,PWR
1/2/2015 16:00,18.29,20.13,28.35
1/5/2015 16:00,18.11,19.79,27.55
1/6/2015 16:00,17.91,19.19,27.21
1/7/2015 16:00,17.96,19.14,27.19
1/8/2015 16:00,18.15,19.86,28.02
1/9/2015 16:00,18.06,19.94,27.53
1/12/2015 16:00,17.82,19.69,26.68
1/13/2015 16:00,17.76,19.66,26.47
1/14/2015 16:00,17.67,19.74,26.34
1/15/2015 16:00,17.51,19.6,25.79
1/16/2015 16:00,17.51,19.96,26.37
1/20/2015 16:00,17.5,20.02,26.38
1/21/2015 16:00,17.83,20.3,27.17
1/22/2015 16:00,18.27,20.65,27.24
1/23/2015 16:00,18.45,20.71,27.35
1/26/2015 16:00,18.61,20.62,27.56
1/27/2015 16:00,18.41,19.63,27.33
1/28/2015 16:00,18.34,19.31,26.32
1/29/2015 16:00,18.46,19.78,26.79
1/30/2015 16:00,18.3,19.2,26.48
2/2/2015 16:00,18.56,19.62,28.15
2/3/2015 16:00,18.9,20.11,29.02
2/4/2015 16:00,18.6,20.16,28.23
2/5/2015 16:00,18.75,20.49,28.94
2/6/2015 16:00,18.84,20.4,28.95
2/9/2015 16:00,18.84,20.38,28.75
2/10/2015 16:00,18.93,20.95,28.6
2/11/2015 16:00,18.92,20.81,28.53
2/12/2015 16:00,18.97,22.3,28.86
2/13/2015 16:00,19.09,22.31,28.76
2/17/2015 16:00,18.99,22.38,28.68
2/18/2015 16:00,19.02,22.12,29.38
2/19/2015 16:00,18.97,22.18,29.61
2/20/2015 16:00,19,22.34,29.51
2/23/2015 16:00,18.76,22.16,28.76
2/24/2015 16:00,18.8,22.31,29.04
2/25/2015 16:00,19.18,22.14,29.14
2/26/2015 16:00,18.96,22.2,28.86
2/27/2015 16:00,18.71,22.06,28.78
3/2/2015 16:00,19.05,22.6,28.66
3/3/2015 16:00,18.93,22.18,28.7
3/4/2015 16:00,18.64,22.43,28.6
3/5/2015 16:00,18.64,22.86,28.7
3/6/2015 16:00,18.61,22.55,28.33
3/9/2015 16:00,18.61,22.61,28.39
3/10/2015 16:00,18.34,23,28.13
3/11/2015 16:00,18.41,22.88,28.14
3/12/2015 16:00,18.66,22.67,28.14
3/13/2015 16:00,18.64,22.7,27.67
3/16/2015 16:00,18.86,22.97,28.16
3/17/2015 16:00,18.7,23.25,27.98
3/18/2015 16:00,18.68,22.87,28.39
3/19/2015 16:00,18.68,23.22,27.82
3/20/2015 16:00,18.9,23.47,28.04
3/23/2015 16:00,18.77,22.71,28.31
3/24/2015 16:00,18.73,22.4,28.22
3/25/2015 16:00,18.31,21.04,27.85
3/26/2015 16:00,18.38,20.97,28.24
3/27/2015 16:00,18.6,21.38,28.01
3/30/2015 16:00,18.75,21.47,28.83
3/31/2015 16:00,18.79,20.93,28.53
4/1/2015 16:00,18.77,21.01,28.4
4/2/2015 16:00,18.84,21.06,28.44
4/6/2015 16:00,19.06,21.67,29.12
4/7/2015 16:00,18.91,21.86,28.66
4/8/2015 16:00,19.04,22.02,28.47
4/9/2015 16:00,18.93,22.53,28.69
4/10/2015 16:00,18.93,22.76,28.62
4/13/2015 16:00,18.84,22.55,28.71
4/14/2015 16:00,18.8,22.36,29.06
4/15/2015 16:00,18.91,22.63,29.95
4/16/2015 16:00,18.79,22.49,29.52
4/17/2015 16:00,18.5,22.2,29.11
4/20/2015 16:00,18.7,22.09,29.32
4/21/2015 16:00,18.68,22.06,29.17
4/22/2015 16:00,18.6,22.31,29.01
4/23/2015 16:00,18.67,22.22,29.21
4/24/2015 16:00,18.59,22.03,29.28
4/27/2015 16:00,18.33,22.2,29.48
4/28/2015 16:00,18.31,22.31,29.56
4/29/2015 16:00,18.14,22.14,29.68
4/30/2015 16:00,17.79,22.2,28.91
5/1/2015 16:00,17.89,22.75,28.23
5/4/2015 16:00,17.99,22.61,28.13
