Date,Symbol,Close
1/2/2015,NVDA,20.13
1/5/2015,NVDA,19.79
1/6/2015,NVDA,19.19
1/7/2015,NVDA,19.14
1/8/2015,NVDA,19.86
1/9/2015,NVDA,19.94
1/12/2015,NVDA,19.69
1/13/2015,NVDA,19.66
1/14/2015,NVDA,19.74
1/15/2015,NVDA,19.6
1/16/2015,NVDA,19.96
1/20/2015,NVDA,20.02
1/21/2015,NVDA,20.3
1/22/2015,NVDA,20.65
1/23/2015,NVDA,20.71
1/26/2015,NVDA,20.62
1/27/2015,NVDA,19.63
1/28/2015,NVDA,19.31
1/29/2015,NVDA,19.78
1/30/2015,NVDA,19.2
2/2/2015,NVDA,19.62
2/3/2015,NVDA,20.11
2/4/2015,NVDA,20.16
2/5/2015,NVDA,20.49
2/6/2015,NVDA,20.4
2/9/2015,NVDA,20.38
2/10/2015,NVDA,20.95
2/11/2015,NVDA,20.81
2/12/2015,NVDA,22.3
2/13/2015,NVDA,22.31
2/17/2015,NVDA,22.38
2/18/2015,NVDA,22.12
2/19/2015,NVDA,22.18
2/20/2015,NVDA,22.34
2/23/2015,NVDA,22.16
2/24/2015,NVDA,22.31
2/25/2015,NVDA,22.14
2/26/2015,NVDA,22.2
2/27/2015,NVDA,22.06
3/2/2015,NVDA,22.6
3/3/2015,NVDA,22.18
3/4/2015,NVDA,22.43
3/5/2015,NVDA,22.86
3/6/2015,NVDA,22.55
3/9/2015,NVDA,22.61
3/10/2015,NVDA,23
3/11/2015,NVDA,22.88
3/12/2015,NVDA,22.67
3/13/2015,NVDA,22.7
3/16/2015,NVDA,22.97
3/17/2015,NVDA,23.25
3/18/2015,NVDA,22.87
3/19/2015,NVDA,23.22
3/20/2015,NVDA,23.47
3/23/2015,NVDA,22.71
3/24/2015,NVDA,22.4
3/25/2015,NVDA,21.04
3/26/2015,NVDA,20.97
3/27/2015,NVDA,21.38
3/30/2015,NVDA,21.47
3/31/2015,NVDA,20.93
4/1/2015,NVDA,21.01
4/2/2015,NVDA,21.06
4/6/2015,NVDA,21.67
4/7/2015,NVDA,21.86
4/8/2015,NVDA,22.02
4/9/2015,NVDA,22.53
4/10/2015,NVDA,22.76
4/13/2015,NVDA,22.55
4/14/2015,NVDA,22.36
4/15/2015,NVDA,22.63
4/16/2015,NVDA,22.49
4/17/2015,NVDA,22.2
4/20/2015,NVDA,22.09
4/21/2015,NVDA,22.06
4/22/2015,NVDA,22.31
4/23/2015,NVDA,22.22
4/24/2015,NVDA,22.03
4/27/2015,NVDA,22.2
4/28/2015,NVDA,22.31
4/29/2015,NVDA,22.14
4/30/2015,NVDA,22.2
5/1/2015,NVDA,22.75
5/4/2015,NVDA,22.61
5/5/2015,NVDA,22.03
5/6/2015,NVDA,22.1
5/7/2015,NVDA,22.49
5/8/2015,NVDA,20.83
5/11/2015,NVDA,20.63
5/12/2015,NVDA,20.83
5/13/2015,NVDA,20.95
5/14/2015,NVDA,21.29
5/15/2015,NVDA,21.3
5/18/2015,NVDA,21.27
5/19/2015,NVDA,21.04
5/20/2015,NVDA,21.04
5/21/2015,NVDA,20.89
5/22/2015,NVDA,20.86
5/26/2015,NVDA,20.73
5/27/2015,NVDA,21.84
5/28/2015,NVDA,22.14
5/29/2015,NVDA,22.13
6/1/2015,NVDA,22.38
6/2/2015,NVDA,21.94
6/3/2015,NVDA,21.7
6/4/2015,NVDA,22.09
6/5/2015,NVDA,22.26
6/8/2015,NVDA,21.75
6/9/2015,NVDA,21.86
6/10/2015,NVDA,21.47
6/11/2015,NVDA,21.7
6/12/2015,NVDA,21.11
6/15/2015,NVDA,21.07
6/16/2015,NVDA,21.33
6/17/2015,NVDA,21.58
6/18/2015,NVDA,21.94
6/19/2015,NVDA,21.87
6/22/2015,NVDA,21.78
6/23/2015,NVDA,21.22
6/24/2015,NVDA,21.01
6/25/2015,NVDA,21.17
6/26/2015,NVDA,20.74
6/29/2015,NVDA,20.12
6/30/2015,NVDA,20.11
7/1/2015,NVDA,20.4
7/2/2015,NVDA,20.42
7/6/2015,NVDA,20.17
7/7/2015,NVDA,19.79
7/8/2015,NVDA,19.65
7/9/2015,NVDA,19.41
7/10/2015,NVDA,19.75
7/13/2015,NVDA,19.88
7/14/2015,NVDA,19.89
7/15/2015,NVDA,19.75
7/16/2015,NVDA,20.19
7/17/2015,NVDA,20.07
7/20/2015,NVDA,19.7
7/21/2015,NVDA,19.79
7/22/2015,NVDA,19.41
7/23/2015,NVDA,19.65
7/24/2015,NVDA,19.42
7/27/2015,NVDA,19.31
7/28/2015,NVDA,19.73
7/29/2015,NVDA,19.97
7/30/2015,NVDA,20.02
7/31/2015,NVDA,19.95
8/3/2015,NVDA,20.29
8/4/2015,NVDA,20.37
8/5/2015,NVDA,20.58
8/6/2015,NVDA,20.45
8/7/2015,NVDA,22.98
8/10/2015,NVDA,23.78
8/11/2015,NVDA,23.66
8/12/2015,NVDA,23.72
8/13/2015,NVDA,23.52
8/14/2015,NVDA,23.54
8/17/2015,NVDA,23.39
8/18/2015,NVDA,23.08
8/19/2015,NVDA,22.99
8/20/2015,NVDA,22.16
8/21/2015,NVDA,21.47
8/24/2015,NVDA,20.71
8/25/2015,NVDA,20.28
8/26/2015,NVDA,21.81
8/27/2015,NVDA,22.63
8/28/2015,NVDA,22.73
8/31/2015,NVDA,22.48
9/1/2015,NVDA,21.56
9/2/2015,NVDA,22.21
9/3/2015,NVDA,22.27
9/4/2015,NVDA,21.75
9/8/2015,NVDA,22.68
9/9/2015,NVDA,22.23
9/10/2015,NVDA,22.58
9/11/2015,NVDA,22.65
9/14/2015,NVDA,22.69
9/15/2015,NVDA,22.94
9/16/2015,NVDA,23.1
9/17/2015,NVDA,23.31
9/18/2015,NVDA,23.29
9/21/2015,NVDA,23.53
9/22/2015,NVDA,22.89
9/23/2015,NVDA,23
9/24/2015,NVDA,23.44
9/25/2015,NVDA,23.61
9/28/2015,NVDA,23.3
9/29/2015,NVDA,23.71
9/30/2015,NVDA,24.65
10/1/2015,NVDA,24.17
10/2/2015,NVDA,24.8
10/5/2015,NVDA,25.42
10/6/2015,NVDA,25.75
10/7/2015,NVDA,26.02
10/8/2015,NVDA,26.17
10/9/2015,NVDA,26.07
10/12/2015,NVDA,26.35
10/13/2015,NVDA,26.4
10/14/2015,NVDA,27.36
10/15/2015,NVDA,27.43
10/16/2015,NVDA,27.86
10/19/2015,NVDA,27.81
10/20/2015,NVDA,27.77
10/21/2015,NVDA,27.41
10/22/2015,NVDA,28.4
10/23/2015,NVDA,28.59
10/26/2015,NVDA,28.46
10/27/2015,NVDA,28.44
10/28/2015,NVDA,28.67
10/29/2015,NVDA,27.68
10/30/2015,NVDA,28.37
11/2/2015,NVDA,28.7
11/3/2015,NVDA,28.5
11/4/2015,NVDA,28.03
11/5/2015,NVDA,27.71
11/6/2015,NVDA,31.55
11/9/2015,NVDA,31.41
11/10/2015,NVDA,30.81
11/11/2015,NVDA,30.51
11/12/2015,NVDA,30.4
11/13/2015,NVDA,29.8
11/16/2015,NVDA,30.4
11/17/2015,NVDA,30.4
11/18/2015,NVDA,31.03
11/19/2015,NVDA,31.12
11/20/2015,NVDA,31.39
11/23/2015,NVDA,30.92
11/24/2015,NVDA,31.17
11/25/2015,NVDA,31.13
11/27/2015,NVDA,31.39
11/30/2015,NVDA,31.72
12/1/2015,NVDA,32.75
12/2/2015,NVDA,32.5
12/3/2015,NVDA,32.43
12/4/2015,NVDA,33.75
12/7/2015,NVDA,33.11
12/8/2015,NVDA,33.56
12/9/2015,NVDA,32.71
12/10/2015,NVDA,32.98
12/11/2015,NVDA,32.49
12/14/2015,NVDA,32.57
12/15/2015,NVDA,32.97
12/16/2015,NVDA,33.17
12/17/2015,NVDA,32.67
12/18/2015,NVDA,32.14
12/21/2015,NVDA,32.9
12/22/2015,NVDA,32.93
12/23/2015,NVDA,33.06
12/24/2015,NVDA,33.17
12/28/2015,NVDA,33.14
12/29/2015,NVDA,33.68
12/30/2015,NVDA,33.39
12/31/2015,NVDA,32.96
1/4/2016,NVDA,32.37
1/5/2016,NVDA,32.89
1/6/2016,NVDA,31.53
1/7/2016,NVDA,30.28
1/8/2016,NVDA,29.63
1/11/2016,NVDA,29.68
1/12/2016,NVDA,30.18
1/13/2016,NVDA,29.26
1/14/2016,NVDA,28.67
1/15/2016,NVDA,27.11
1/19/2016,NVDA,27.33
1/20/2016,NVDA,27.48
1/21/2016,NVDA,27.8
